Date - Date,m^3/s,ft^3/s
2024-01-01 00:01,7400,261300
2024-01-06 00:01,7420,262000
2024-01-13 00:01,7460,263400
2024-01-18 19:01,6800,240100
2024-01-22 12:01,7200,254300
2024-01-23 12:01,7560,267000
2024-01-27 00:01,7580,267700
2024-02-03 00:01,7800,275500
2024-02-10 00:01,7820,276200
2024-02-17 00:01,7770,274400
2024-02-24 00:01,7710,272300
2024-03-02 00:01,7720,272600 
2024-03-09 00:01,7700,271900
2024-03-16 00:01,7820,276200
2024-03-23 00:01,7840,276900
2024-03-30 00:01,7730,273000
2024-04-06 00:01,7760,274000
2024-04-13 00:01,7770,274400 
2024-04-20 00:01,8120,286800
2024-04-27 00:01,8150,287800
2024-05-04 00:01,8070,285000
2024-05-11 00:01,8020,283200
2024-05-18 00:01,7980,281800
2024-05-25 00:01,7960,281100
2024-06-08 00:01,7880,278300
2024-06-19 07:01,7310,258200
2024-06-19 08:01,7280,257100
2024-06-19 16:01,7850,277200
2024-06-19 17:01,7980,281800
2024-06-22 00:01,7800,275500
2024-06-29 00:01,7880,278300
2024-07-06 00:01,7890,278600
2024-07-13 00:01,7980,281800
2024-07-20 00:01,8230,290600
2024-07-27 00:01,8120,286800
2024-08-03 00:01,7950,280800
2024-08-10 00:01,7820,276200
2024-08-17 00:01,7830,276500
2024-08-24 00:01,7820,276200
2024-09-04 04:01,7270,256700
2024-09-04 05:01,6720,237300
2024-09-04 16:01,7270,256700
2024-09-04 17:01,7820,276200
2024-09-07 00:01,7580,267700
2024-09-14 00:01,7600,268400
2024-09-21 00:01,7510,265200
2024-09-24 05:01,7100,250700
2024-09-24 17:01,7510,265200
2024-09-28 00:01,7420,262000
2024-10-05 00:01,7360,259900
2024-10-12 00:01,7220,255000
2024-10-19 00:01,7090,250400
2024-10-26 00:01,7060,249300
2024-11-02 00:01,6920,244400
2024-11-09 00:01,6870,242600
2024-11-16 00:01,6820,240800
2024-11-23 00:01,6470,228500
2024-11-30 00:01,6470,228500
2024-12-07 00:01,6560,231700
2024-12-14 00:01,6740,238000
2024-12-21 00:01,6800,240100
2024-12-28 00:01,6780,239400
